time_s,Force_N
5.0608,561.021
9.4592,546.805
15.2289,535.583
20.3299,546.764
24.1029,526.87
30.2905,520.005
35.171,516.459
40.0421,503.035
45.3548,507.248
49.7964,488.887
55.3167,488.161
60.187,474.032
65.2765,466.957
70.3851,479.638
75.0471,469.743
80.1244,449.969
85.2282,457.711
90.317,449.931
95.1975,446.385
100.0563,420.261
105.3711,426.591
110.2428,413.873
115.333,407.504
120.2095,399.724
125.0839,389.828
130.383,379.931
135.4746,374.973
140.3497,365.783
144.8021,358.71
150.3211,356.573
155.4106,349.499
160.2952,350.186
165.173,343.818
170.2557,329.688
175.3357,312.735
180.2122,304.956
185.2888,284.476
190.3959,295.746
195.4868,290.082
200.596,303.469
205.4738,297.101
210.3394,278.032
215.4194,261.08
220.3101,268.117
225.6263,275.859
230.2911,268.786
235.5875,256.066
240.4633,247.581
245.1464,259.558
250.6728,265.182
255.3363,256.698
260.421,244.684
265.52,247.487
270.4026,246.058
275.4948,241.806
280.5945,245.315
285.6711,224.834
290.568,238.222
295.6513,224.797
300.7558,233.245
